Name,Variety,Flavors,Producer Country
Unblended: Development Project,Various,"Dark Chocolate, Vegetal, Lemon, Berry, Chocolate, Herb, Citrus, Sweet",Colombia
Wilton Benitez Red Bourbon Anaerobic Thermal Shock,Red Bourbon,"Acid, Sweet Cream, Straw Berry, Berry, Candy, Bran",Rwanda
Wilton Benitez Yellow Bourbon Anaerobic Thermal Shock,Yellow Bourbon,"Nut, Tropical Fruit, Floral, Sweet Cream, Tamarind, Fermented, Flower, Berry, Orange, Citrus, Tea, Spice",Brazil
Bolivia Floripondio 1 kg,Sl34,"Sweet Cream, Fermented, Straw Berry, Praline, Rum, Marmalade, Berry, Jam, Caramel, Spice",Taiwan
Bolivia Floripondio,Sl34,"Sweet Cream, Fermented, Straw Berry, Praline, Rum, Marmalade, Berry, Jam, Caramel, Spice",Taiwan
Panama Los Lajones Geisha,Geisha,"Tropical Fruit, Tea, Jasmine, Floral",Panama
Jose López - Finca El Mirador,Bourbon,"Nut, Caramel, Pear, Almond",Rwanda
"Edinson Argote, Finca Quebraditas Geisha",Geisha,"Rose, Tropical Fruit, Floral, Coconut, Mango, Stone Fruit",Panama
Brazil Fazenda Guariroba CMH,Yellow Topazío,"Fermented, Ginger, Chocolate, Cocoa, Red Apple, Spice, Herb, Caramel, Ale",Brazil
Indonesia Frinsa Sarapan#2,Sigarar Utang,"Lime, Fig, Pear, Citrus, Apple, Tea",Indonesia
Ethiopia Aricha Washed G1 (Single Origin Filter),Ethiopian Heirlooms,"Floral, Lemon, Berry, Citrus, Tea",Ethiopia
Ethiopia Alaka | Guji Natural (Single Origin Espresso),Ethiopian Heirlooms,"Floral, Grape, Blue Berry, Berry, Citrus, Tea, Sweet",Ethiopia
Ethiopia Alaka | Guji Natural (Single Origin Filter),Ethiopian Heirlooms,"Floral, Grape, Blue Berry, Berry, Citrus, Tea, Sweet",Ethiopia
パナマ / ALTIERI ''Dilgo''#1970224,Geisha,"Tropical Fruit, Wine, Floral, Jasmine, Dried Fruit, Fermented, Sweet, Orange, Citrus, Tea, Mango, Stone Fruit",Panama
"Cerro Azul, Gesha, Honey, Colombia",Gesha,"Lavender, Currant, Floral, Grape, Berry, Candy, Honey, Sweet",Colombia
"Kagumo AA, Kenya","Sl28, Sl34, Ruiru 11, Batian","Lime, Currant, Berry, Citrus, Sweet",Kenya
"#F Tatu AA, Kenya","Sl28, Sl34, Ruiru 11, Batian","Tropical Fruit, Citrus, Straw Berry, Berry, Jam, Orange, Rasp Berry, Sweet",Kenya
"Aquiares Estate Marianna, Costa Rica",Iapar Ethiopian,"Floral, Fermented, Grape, Berry, Red Apple, Spice, Tea",Costa Rica
"#E Tatu AA, Kenya","Sl28, Sl34, Ruiru 11, Batian","Citrus, Straw Berry, Berry, Red Grape, Rasp Berry",Kenya
La Antartida,Mixed,"Nut, Apricot, Caramel, Sweet, Stone Fruit",Colombia
Ecuador - Finca Soledad Sydra Oxi (Extra Light),Sydra,"Sweet Cream, Dried Fruit, Date, Chocolate, Honey, Citrus",Ecuador
Colombia - Gildardo Lopez,Pink Bourbon,"Cotton Candy, Lime, Berry, Cherry, Citrus, Sweet",Colombia
Guatemala – Piedra Azul,"Caturra, Bourbon","Nut, Hazel Nut, Floral",Guatemala
Indonézie – Pegasing washed,Tim Tim & Gayo 1,"Floral, Sweet Cream, Flower, Berry, Cherry, Citrus",Indonesia
Indonézie – Pegasing natural,Tim Tim & Gayo 1,"Tropical Fruit, Wine, Fermented, Berry, Cherry, Orange, Citrus",Indonesia
Etiopie – Chelbesa,Ethiopian Heirlooms,"Floral, Jasmine, Bergamot, Honey, Citrus, Tea",Ethiopia
Keňa – Thikagiki AB,"Sl28, Sl34","Lime, Sweet Cream, Rhubarb, Vegetal, Vanilla, Acid, Citrus",Kenya
Etiopie – Lalesa,Ethiopian Heirlooms,"Sweet Cream, Lemon, Blue Berry, Berry, Citrus, Cheese",Ethiopia
Guatemala - Piedra Azul,"Caturra, Bourbon","Nut, Hazel Nut, Floral",Guatemala
Indonesia - Pegasing washed,Tim Tim & Gayo 1,"Floral, Sweet Cream, Flower, Berry, Cherry, Citrus",Indonesia
Indonesia - Pegasing natural,Tim Tim & Gayo 1,"Tropical Fruit, Wine, Fermented, Berry, Cherry, Orange, Citrus",Indonesia
Indonesia - Pegasing anaerobic,Tim Tim & Gayo 1,"Milk Chocolate, Red Apple, Cream, Tea",Indonesia
Indonesia - Pegasing carbonic,Tim Tim & Gayo 1,"Lime, Chocolate, Apricot, Cocoa, Citrus, Sweet, Stone Fruit",Indonesia
Indonesia – Pegasing thermal washed,Tim Tim & Gayo 1,"Nut, Pistachio, Lime, Sweet Cream, Berry, Cherry, Citrus",Indonesia
Guatemala - Peña Roja,"Caturra, Bourbon","Wine, Dried Fruit, Fermented, Mocha, Raisin",Guatemala
Ethiopia - Chelbesa,Ethiopian Heirlooms,"Floral, Jasmine, Bergamot, Honey, Citrus, Tea",Ethiopia
Kenya – Thikagiki AB,"Sl28, Sl34","Lime, Sweet Cream, Rhubarb, Vegetal, Vanilla, Acid, Citrus",Kenya
Kenya – Gatomboya PB,"Sl28, Sl34, Ruiru 11, Batian","Black Berry, Cran Berry, Currant, Sweet Cream, Berry",Kenya
Ethiopia - Lalesa,Ethiopian Heirlooms,"Sweet Cream, Lemon, Blue Berry, Berry, Citrus, Cheese",Ethiopia
/046 Panama — Boquete,Catuai,"Tropical Fruit, Acid, Sweet Cream, Fermented, Bran",Costa Rica
"GATHAITHI AA / SL28, SL34, Ruiru11, Batian - Washed / KENYA","Sl28, Sl34, Ruiru11, Batian","Tropical Fruit, Sweet Cream, Herb, Spice, Acid, Tea",Kenya
[Decaf] Ethiopia / Sidamo G2 Mountain Water,,"Stone Fruit, Sweet, Floral",Ethiopia
Kenya / Key AA,"Sl34, Sl28, Ruiru11","Tropical Fruit, Green Apple, Lemon, Candy, Orange, Citrus, Sweet",Kenya
"Ethiopia / Walka Sakaro Lot ""Teddy""",Ethiopian Heirlooms,"Tropical Fruit, Floral, Lychee, Vegetal, Lemon, Berry, Herb, Citrus, Sweet",Ethiopia
Rwanda / Bajiro Natural,Bourbon Refining,"Wine, Fermented, Berry, Milk Chocolate, Cream, Rasp Berry",Rwanda
City Roast Blend [ONIBUS Original Blend],,"Chocolate, Dark Chocolate, Sweet Cream",Ethiopia
Step Blend [ONIBUS Original Blend],,"Sweet Cream, Berry, Chocolate, Citrus",Ethiopia
ONIBUS BLEND [ONIBUS original blend],,"Wine, Sweet Cream, Fermented, Chocolate",Ethiopia
Rwanda / Ruri 0304,Bourbon,"Tropical Fruit, Sweet, Caramel, Berry, Apricot, Brown Sugar, Orange, Citrus, Tea, Stone Fruit",Rwanda
Colombia / Ferney Cruz,Caturra,"Sweet Cream, Berry, Grape Fruit, Citrus",Colombia
Honduras / Feliciano Savision,Pacas,"Nut, Prune, Dried Fruit, Apricot, Cream, Stone Fruit",Honduras
Oscar Restrepo (Pink Bourbon) - Colombia,Pink Bourbon,"Sugar, Floral, Citrus, Apple, Sweet",Colombia
Bolivia Caranavi Waliki | 50g,Geisha,"Dried Fruit, Fermented, Chocolate, Cocoa Nib, Raisin",Panama
Brazil Daterra Lot 2013 Audacia | 50g,Laurina,"Wine, Fermented, Spice, Apple, Sweet",Brazil
"Colombia CGLE Cerro Azul ""GXO"" | 50g",Geisha,"Tropical Fruit, Fermented, Chocolate, Banana, Caramel, Mango, Stone Fruit",Panama
250g Guatemala La Soledad,Bourbon & Caturra,"Nut, Hazel Nut, Sweet Cream, Milk Chocolate, Red Apple, Spice",Guatemala
250g Kenya Kainamui AA,"Sl28, Sl34, Ruiru 11 & Batian","Black Berry, Berry, Chocolate, Cocoa, Spice, Sweet",Kenya
250g Ethiopia Hadeso,Kurume & Wolisho,"Dark Chocolate, Plum, Blue Berry, Chocolate, Berry, Stone Fruit",Ethiopia
Panama Finca Deborah Elipse,Geisha,"Tropical Fruit, Floral, Jasmine, Citrus, Tea, Mango, Stone Fruit",Panama
"José Martínez Washed Pink Bourbon - Huila, Colombia",Pink Bourbon,"Tropical Fruit, Fermented, Tea, Guava",Colombia
Nirvana Lot - Iris Estate - Jamison Savage - Panama,Gesha,"Cotton Candy, Rose, Black Berry, Floral, Fermented, Berry, White Grape, Rasp Berry, Tea, Sweet",Colombia
La Joya Pink Bourbon Honey,Pink Bourbon,"Peach, Sweet Cream, Berry, Rasp Berry, Stone Fruit",Colombia
La Mandarina Organic,Bourbon,"Nut, Tropical Fruit, Red Apple, Caramel, Citrus, Sweet",Rwanda
Kegwa AA,"Sl28, Sl34 And Ruiru 11","Black Berry, Floral, Vegetal, Lemon, Berry, Herb, Cherry, Citrus, Sweet",Kenya
"Beshasha, Lot 1 (Ethiopia)",Ethiopian Heirlooms,"Sweet, Lemon, Bergamot, Herb, Vanilla, Citrus, Tea",Ethiopia
"Monteblanco, Lot 07-24-28 (Colombia)",Purple Caturra,"Rose, Tropical Fruit, Floral, Lemon, Coconut, Caramel, Citrus, Sweet",Colombia
The Alchemist - Rwanda,Bourbon,"Tropical Fruit, Sweet, Chocolate, Cocoa Nib, Mango, Stone Fruit",Rwanda
Cherry Pick - Costa Rica,F1 Hybrid,"Nut, Fermented, Almond, Grape, Berry, Cherry, Acid, Caramel, Sweet",Ecuador
Orange County - Costa Rica,Red Catuai,"Tropical Fruit, Acid, Floral, Rhubarb, Vegetal, Honey, Citrus, Sweet, Blood Orange",Brazil
The Alchemist - Rwanda,Bourbon,"Tropical Fruit, Sweet, Chocolate, Cocoa Nib, Mango, Stone Fruit",Rwanda
PERU La Margarita Geisha Washed WX,Geisha,"Tropical Fruit, Sweet, Bergamot, Vanilla, Citrus, Mango, Stone Fruit",Panama
KENYA Coffea Circulor Ouragan Isolated Batian AA Washed WX,"Isolated, Batian, Aa-Grade","Toffee, Plum, Grape Fruit, Caramel, Citrus, Stone Fruit",Kenya
BRAZIL Capadocia Yellow Catuai Natural NX,Yellow Catuai,"Sugar, Spice, Caramel, Apple, Sweet",Brazil
BOLIVIA Yana Caturra Washed WX,Caturra,"Tropical Fruit, Fudge, Milk Chocolate, Cream, Orange, Citrus",Colombia
Finca Familia JimenezGUATEMALA,Bourbon,"Nut, White Chocolate, Almond, Chocolate, Apricot, Stone Fruit",Rwanda
"Colombia Maria Delgado, Washed Caturra",Caturra,"Tropical Fruit, Plum, Berry, Rasp Berry, Stone Fruit",Colombia
"Kenya Karimikui AA, Washed Field Blend","Sl28, Sl34, Ruiru 11, Batian","Berry, Citrus, Green Apple, Currant",Kenya
Sipi Falls,"Sl28, Sl14, Blue Mountain","Nut, Nougat, Sweet Cream, Straw Berry, Plum, Blue Berry, Berry, Stone Fruit",Uganda
Jose Jijon & Francisco Vintimilla - Ecuador Mejorado (Roasted August 7th),Mejorado,"Floral, Fermented, Pear, Berry, Acid, Tea",Ecuador
HONDURAS | Javier Fernandez | Catuai | Washed,Catuai,"Plum, Vanilla, Apple, Sweet, Stone Fruit",Costa Rica
UGANDA | Gamatui | SL34 & Bourbon | Natural,Sl34 & Bourbon,"Sweet Cream, Straw Berry, Grape, Berry",Uganda
COLOMBIA | EA Decaf de Caña - Asociación Los Naranjos | Caturra & Castillo | Washed,Caturra & Castillo,"Nut, Nougat, Sweet Cream, Apricot, Brown Sugar, Caramel, Stone Fruit",Colombia
"Honduras Cup Of Excellence #19 - Los Tanquez - Natural, Pacas",Pacas,"Tropical Fruit, Apple, Mango, Stone Fruit",Honduras
COLOMBIA PEACH HONEY CO-FERMENT,"Castillo, Caturra, Colombia.","Tropical Fruit, Peach, Lychee, Chocolate, Acid, Stone Fruit",Colombia
COLOMBIA CHERRY HONEY CO-FERMENT,"Castillo, Caturra, Colombia.","Berry, Brown Sugar, Cherry, Caramel, Sweet, Spice",Colombia
Honduras Caballero Pacamara Natural,Pacamara,"Black Berry, Tropical Fruit, Tamarind, Berry, Herb, Sage, Citrus",El Salvador
El Salvador Malacara Orange Natural,Bourbon,"Tropical Fruit, Black Berry, Floral, Berry, Citrus, Blood Orange",Rwanda
IN A SILENT WAY - Colombia Filter,Castillo,"Concord Grape, Berry, Cherry, Citrus, Apple, Sweet",Colombia
LOVE SONGS ON THE RADIO - Ethiopia Filter,"Gibirinna 74110, Serto 74112","Lavender, Peach, Floral, Chocolate, Spice, Honey, Caramel, Sweet, Stone Fruit",Ethiopia
I COULD LIVE IN JUICYVILLE // Costa Rica Espresso,H1,"Sorbet, Fig, Sweet Cream, Berry, Chocolate, Rasp Berry",Costa Rica
"Pulcal Medium, Guatemala","Bourbon Tekisic, Caturra","Dark Chocolate, Chocolate, Spice, Citrus, Apple, Sweet",Guatemala
"Pulcal, Guatemala","Bourbon, Typica","Tropical Fruit, Cream, Berry, Milk Chocolate, Cherry, Orange, Citrus",Guatemala
"Gakuyu-ini, Kenya 250g",Sl28 & Sl34,"Tropical Fruit, Nectarine, White Grape, Citrus, Apple, Stone Fruit",Kenya
"Tebe Melge, Ethiopia 250g",Ethiopian Heirlooms,"Tropical Fruit, Peach, Water Melon, Floral, Nectar, Straw Berry, Berry, Vanilla, Orange, Citrus, Sweet, Stone Fruit",Ethiopia
Ethiopia Chelbesa,Ethiopian Landraces,"Bergamot, Tropical Fruit, Citrus",Ethiopia
Guatemala El Aliso,Pache,"Plum, Spice, Stone Fruit",Guatemala
Peru Cusco Valle Inca,"Typica, Bourbon",,Mexico
Lost Origin x Finca Don Benjie Lot 059 | Lunar Crush Process | Yeast Natural Bourbon,Bourbon,"Tropical Fruit, Wine, Fermented, Passion Fruit, Plum, Melon, Acid, Mango, Stone Fruit",Rwanda
"INDRAVATHI ESTATE, Honey Sun-dried",Chandragiri,"Tropical Fruit, Sweet Cream, Dried Fruit, Bread, Orange, Citrus, Raisin",India
"Konga 'Red' G1, Ethiopia, Natural",Ethiopian Heirlooms,"Chocolate, Caramel, Toffee, Stone Fruit",Ethiopia
"Konga Lot 1422, Ethiopia, CM Natural",Ethiopian Heirlooms,"Peach, Toffee, Chocolate, Caramel, Stone Fruit",Ethiopia
CAPADOCIA ESPRESSO / BRAZIL,Catuai,"Nut, Nectarine, Roasted, Sweet Cream, Wal Nut, Caramel, Stone Fruit",Costa Rica
CAPADOCIA / BRAZIL,Catuai,"Nut, Tropical Fruit, Fermented, Almond, Plum, Brown Sugar, Caramel, Sweet, Stone Fruit",Costa Rica
Gedeb / Ethiopia / Washed / 250g,Ethiopian Heirlooms,"Tropical Fruit, Nectarine, Floral, Grape Fruit, Orange, Citrus, Stone Fruit",Ethiopia
Colombia Luis Ariel Bermúdez Ramirez,Geisha,"Tropical Fruit, Peach, Floral, Plum, Stone Fruit",Panama
BRAZIL Sítio Cachoeirinha – Espresso,Obatá,"Tropical Fruit, Sugar, Chocolate, Cocoa, Apple, Sweet",Brazil
Honduras Jobneel Caceres,Pacas,"Fig, Currant, Fudge, Berry, Chocolate, Jam, Sweet",Honduras
Panama Iris Elipse,Gesha,"Rose, Floral, Earthy, Herb",Colombia
Colombia La Argentina,Pink Bourbon,"Tropical Fruit, Basil, Vegetal, Lemon, Papaya, Herb, Citrus, Sweet",Colombia
Colombia El Diviso Sidra,Sidra,"Fermented, Straw Berry, Berry, Herb, Earthy",Colombia
Colombia El Diviso Caturro Chiroso,Caturro Chiroso,"Fennel, Vegetal, Sage, Sweet, Spice",Colombia
Gundikhan Estate,Chandragiri Sarchimor,"Tropical Fruit, Tamarind, Clove, Chocolate, Spice, Citrus",India
San Miguel,"Caturra, Bourbon, And Catuaí","Dried Fruit, Berry, Vanilla, Cherry, Sweet, Spice",Guatemala
Panama - Boquete | Washed,Catuai,"Nut, Hazel Nut, Chocolate, Grape, Caramel, Apple",Costa Rica
Danche,"Kurume, Wolisho","Nectarine, Bergamot, Citrus, Tea, Stone Fruit",Ethiopia
"Guji Uraga, Ethiopia Espresso",Ethiopian Landraces,"Goose Berry, Berry, Apricot, Spice, Apple, Sweet, Stone Fruit",Ethiopia
Colombia - SL-28 Natural Anaerobic,Sl28,"Nut, Currant, Floral, Nougat, Citrus, Sweet Cream, Chocolate, Berry, Jam, Nutmeg, Rasp Berry, Tea",Costa Rica
Ethiopia | Chelbesa Espresso,Ethiopian Landraces,"Peach, Floral, Marmalade, Grape, Honey, Caramel, Sweet, Stone Fruit",Ethiopia
Ethiopia | Danche,Ethiopian Landraces,"Tropical Fruit, Peach, Nectar, Yuzu, Citrus, Sweet, Stone Fruit",Ethiopia
Monteblanco Watermelon Co-ferment,"Caturra, Bourbon","Tropical Fruit, Peach, Water Melon, Sweet, Candy, Herb, Mint, Tea, Stone Fruit",Guatemala
Duwancho | Natural Special Prep | Single Variety 74148,74148,,Ethiopia
Ethiopia Yirgachefe Gersi Washed,"74112, 74110","Floral, Jasmine, Chamomile, Citrus, Tea",Ethiopia
Ethiopia Sidama Kokose Natural,"74112, 74158","Tropical Fruit, Floral, Berry, Cherry, Orange, Citrus, Sweet",Ethiopia
Colombia MOMOS SELECTION La Muralla Caturra Washed,Caturra,"Nut, Green Apple, Roasted, Almond, Caramel",Colombia
Ecuador San Agustin Ethiopian Heirloom Washed,Ethiopian Heirlooms,"Tropical Fruit, Peach, Floral, Jasmine, Orange, Citrus, Tea, Stone Fruit",Ethiopia
Buncho ETHIOPIAN LANDRACE - HONEY Ethiopia,Ethiopian Landraces,"Tropical Fruit, Water Melon, Orange, Citrus, Tea",Ethiopia
Ethiopia Habtamu Fekadu Aga,"Kurume, Dega, Wolisho","Floral, Jasmine, Sweet, Berry, Apricot, Honey, Tea, Stone Fruit",Ethiopia
Panama El Burro Gesha,Geisha,"Nut, Lime, Floral, Jasmine, Almond, Honey, Citrus, Tea, Sweet",Panama
Piedras Amarillas,Pacas,"Nut, Nougat, Sweet Cream, Berry, Red Apple",Honduras
Ethiopia - Chelbesa One | Washed,Ethiopian Heirlooms,"Tropical Fruit, Floral, Jasmine, Apricot, Citrus, Tea, Mango, Stone Fruit",Ethiopia
Honduras - Dolmin Moreno - La Orquidea Pacas | Honey,Pacas,"Tropical Fruit, Guava, Pear, Blue Berry, Berry, Honey, Sweet",Honduras
Cerro Azul Washed,Geisha,"Fermented, Citrus, Tea, Floral",Panama
Cerro Azul Natural,Geisha,"Floral, Fermented, Berry, Jam, Sweet",Panama
Sudan Rume Washed,Sudan Rume,"Ginger, Vegetal, Lemon, Herb, Spice, Citrus, Sweet",Colombia
Sudan Rume Natural,Sudan Rume,"Fermented, Sweet",Colombia
El Salvador - La Cabaña Espresso,Mixed Bourbon,"Nut, Floral, Cashew, Apricot, Honey, Sweet, Stone Fruit",El Salvador
El Salvador - La Cabaña Filter,Mixed Bourbon,"Nut, Hazel Nut, Apricot, Vanilla, Sweet, Stone Fruit",El Salvador
Guatemala La Morena,,"Sweet Cream, Milk Chocolate, Red Apple, Caramel, Spice",Ethiopia
Ethiopia Diima Danche,,"Tropical Fruit, Citrus, Lime, Guava",Ethiopia
Costa Rica La Trinidad,,"Cherry, Pomegranate, Rasp Berry, Berry",Ethiopia
BRAZIL CRUZEIRO BY IVAN JUNQUEIRA RIBEIRO,Yellow Bourbon,"Tropical Fruit, Guava, Nectarine, Stone Fruit",Brazil
Toffee Apple & Liqourice,Bourbon,"Caramel, Apple, Toffee",Rwanda
Lemon & Currants,"Sl28, Sl34, Batian And Ruiru 11","Lemon, Berry, Citrus, Currant",Kenya
El Salvador Finca El Pozo,Pacamara,"Wine, Floral, Sweet Cream, Fermented, Straw Berry, Berry, Butter, Caramel",El Salvador
24013_Natural_AntonioMedina_Guatemala (UK),"Caturra, Bourbon","Cran Berry, Floral, Jasmine, Berry, Tea",Guatemala
24012_Washed_AntonioMedina_Guatemala (UK),"Caturra, Bourbon","Pear, Chamomile, Floral",Guatemala
Chimaltenango - Guatemala,"Bourbon, Caturra","Prune, Sweet Cream, Dried Fruit, Fermented, Red Apple, Vanilla",Guatemala
La Divina Geisha - El Salvador,Geisha,"Tropical Fruit, Cream, Floral, Dried Fruit, Fermented, Berry, Jam, Cherry, Caramel, Mango, Stone Fruit",Panama
"Colombia La Esperanza, Sirda - Honey",Sidra,"Floral, Fermented, Lemon, Spice, Honey, Citrus, Apple, Sweet",Colombia
"Colombia Las Margaritas, Geisha - Natural",Geisha,"Tropical Fruit, Orange, Citrus, Apple",Panama
"Colombia Pereira Kiwi Nitro, Castillo, Caturra - Anaerobic+NO²","Castillo, Caturra","Liqueur, Fermented, Sweet",Colombia
"Yemen Al-Khanshali, Ja’adi - 7Days Anaerobic Natural",Ja'Adi,"Cran Berry, Sweet Cream, Dried Fruit, Grape, Berry, Yogurt",Yemen
"Jamaica Super Blue Mountain, Typica - Washed",Typica,"Macadamia, Nut, Pear",Ecuador
"Colombia Santuario, Aji(Heirloom) - Washed",Aji Heirloom,"Lime, Basil, Vegetal, Herb, Grape Fruit, Citrus",Colombia
"Ethiopia Chelbesa, 74110, 74112 - Fully Washed","74110, 74112","Peach, Floral, Lemon, Citrus, Tea, Stone Fruit",Ethiopia
"Ethiopia Kokose, 74158 - Natural",74158,"Peach, Straw Berry, Berry, Cream, Stone Fruit",Ethiopia
"Ethiopia Gesha Village Oma, 1931Gesha - Natural",Gesha 1931,"Peach, Floral, Jasmine, Bergamot, Chamomile, Citrus, Tea, Stone Fruit",Ethiopia
El Embrujo,Pink Bourbon,"Wine, Fermented, Berry, Cherry, Sweet, Spice",Colombia
Ricardo Vargas,Typica Mejorado,"Nut, Wine, Nougat, Sweet Cream, Fermented, Caramel",Ecuador
La Llama,Gesha,"Black Berry, Acid, Floral, Berry, Red Grape, Bran, Caramel",Colombia
Colombia La Negrita Pink Bourbon,Pink Bourbon,"Tropical Fruit, Berry, Apricot, Banana, Rasp Berry, Sweet, Stone Fruit",Colombia
Colombia La Negrita Victor Gallo,Victor Gallo,"Peach, Sweet Cream, Spice, Citrus, Apple, Stone Fruit",Colombia
7th Anniversary Blend,"Geisha, 74158","Rose, Floral, Jasmine, Fermented, Berry, Tea",Colombia
"Peru, La Margarita, Washed",Red Bourbon,"Nut, Cran Berry, Floral, Hazel Nut, Dried Fruit, Fermented, Sweet Cream, Vegetal, Lemon, Toast, Chocolate, Berry, Herb, Acid, Citrus",Rwanda
Los Gavilanes [Catuai White Honey],Catuai,"Nut, Dark Chocolate, Pecan, Plum, Chocolate, Stone Fruit",Costa Rica
Corazon de Jesus [Villa Sarchi],Villa Sarchi,"Tropical Fruit, Dark Chocolate, Chocolate, Citrus, Blood Orange",Costa Rica
Hugo Pareja [Gesha Lavé],Gesha Inca,"Tropical Fruit, Citrus, Mango, Stone Fruit",Peru
El Burro [RF2D],Geisha,"Tropical Fruit, Sweet, Plum, Apple, Tea, Stone Fruit",Panama
Las Nubes [Pink Bourbon 200h],Pink Bourbon,"Nut, Rose, Tropical Fruit, Floral, Macadamia, Grape Fruit, Citrus",Colombia
El Vergel [Genius Bourbon],Red Bourbon,"Tropical Fruit, Dark Chocolate, Plum, Chocolate, Banana, Stone Fruit",Rwanda
Peru Aina Uscamayta Filter,Gesha,"Dried Fruit, Apricot, Citrus, Tea, Stone Fruit",Colombia
Ethiopia Nesru Aba Nura Espresso,74110,"Tropical Fruit, Sweet Cream, Fermented, Berry, Jam, Rasp Berry, Mango, Stone Fruit",Ethiopia
Ethiopia Nesru Aba Nura Filter,74110,"Tropical Fruit, Sweet Cream, Fermented, Berry, Jam, Rasp Berry, Mango, Stone Fruit",Ethiopia
Buku Sayisa,Ethiopian Heirlooms,"Lavender, Peach, Floral, Honey, Sweet, Stone Fruit",Ethiopia
Migration 7.1,Ethiopian Heirlooms,"Black Berry, Peach, Berry, Honey, Stone Fruit",Ethiopia
#105 Lychee Co-fermented Coffee Beans from Colombia,Caturra,"Tropical Fruit, Lychee, Chocolate",Colombia
"✨PANGALACTIC GARGLE-BLASTER - Finca Monteblanco, Colombia (co-fermented)","Caturra, Bourbon","Tropical Fruit, Peach, Water Melon, Berry, Candy, Tea, Sweet, Stone Fruit",Guatemala
Mexico | Ricardo Romero Roque,Typica & Bourbon,"Nut, Milk, Tropical Fruit, Straw Berry, Almond, Berry, Cream, Orange, Citrus",Mexico
SL28 Anaerobic Natural Volcan Azul,Sl28,"Wine, Floral, Dried Fruit, Fermented, Date, Spice, Sweet",Costa Rica
SL34 Natural Cafe Granja La Esperanza,Sl34,"Currant, Fermented, Berry, Sweet, Stone Fruit",Taiwan
Ethiopia Idido,"Kurume, Daga, Wolisho","Nectarine, Floral, Lemon, Citrus, Stone Fruit",Ethiopia
Colombia Hiller Gomez,Chiroso,"Lime, Cran Berry, Berry, White Grape, Citrus, Sweet",Colombia
Stellar Collisions IV - Cosmic Co-fermented Coffee Magic,,"Black Berry, Tropical Fruit, Berry, Milk Chocolate, Cream",Ethiopia
Colombia - Monteblanco - Blueberry Co-Ferment - 8oz,"Caturra, Bourbon","Tropical Fruit, Lime, Citrus, Berry, Banana, Rasp Berry",Guatemala
El Itacayo | Honduras,Geisha,"Peach, Floral, Sweet Cream, Jasmine, Vanilla, Custard, Tea, Stone Fruit",Panama
Kenya Kii,"Sl28, Sl34, Batian, Ruiru 11","Tangerine, Tropical Fruit, Dark Chocolate, Chocolate, Grape Fruit, Citrus",Kenya
Guatemala Andres Pablo,"Caturra, Bourbon","Nut, Spice, Caramel, Citrus, Sweet",Guatemala
El Paraiso Zeo - Colombia,Pink Bourbon,"Black Berry, Sweet Cream, Fermented, Plum, Berry, Red Grape, Jam, Acid, Stone Fruit",Colombia
Chelbesa - Ethiopia,"Ethiopian Landraces, Korume And Wolisho","Lime, Nectarine, Fermented, Cream, Acid, Citrus, Stone Fruit",Ethiopia
COLOMBIA RASPEBERRY & PINEAPPLE HONEY Coferment,"Castillo, Caturra, Colombia","Tropical Fruit, Berry, Herb, Mint, Rasp Berry, Apple, Tea",Colombia
Colombia CGLE Las Margaritas Napoleon | 50g,Geisha,"Fermented, Grape, Berry, Chocolate, Cocoa, Cherry, Bran, Orange, Caramel, Spice",Panama
David Mamani,Pacamara,"Chocolate, Berry, Apricot, Malt, Tea, Stone Fruit",El Salvador
Chelbesa Kebele - Ethiopia Filter,Ethiopian Heirlooms,"Nectarine, Bergamot, Grape Fruit, Citrus, Stone Fruit",Ethiopia
El Paraìso Lychee - Colombia Filter,Castillo,"Tropical Fruit, Lychee, Passion Fruit, Mango, Stone Fruit",Colombia
Chelbesa Kebele - Ethiopia Espresso,Ethiopian Heirlooms,"Tropical Fruit, Floral, Spice, Caramel, Citrus",Ethiopia
Myanmar - Ta Ngo Village Lot DN-52 | Catuai - Natural,Catuai,"Tropical Fruit, Plum, Chocolate, Red Grape, Cocoa, Mango, Stone Fruit",Costa Rica
Jabanto – Natural Sundried,"Kurume, Dega, Wolisho And Jarc Cbd Resistant Coffee Varieties","Floral, Blue Berry, Chocolate, Berry, Honey, Sweet",Ethiopia
Finca La Victoria,"Catuaí, Caturra, Bourbon","Nut, Red Apple, Vanilla, Spice, Sweet",Nicaragua
"Bromelias - Huehuetenango, Guatemala",Caturra,"Spice, Berry, Sweet, Currant",Colombia
"Honduras, Nancy Pacas",Pacas,"Tropical Fruit, Milk Chocolate, Cream, Citrus, Tea",Honduras
"Honduras, Jerusalén","Red Catuai, Typica","Green Apple, Sugar, Straw Berry, Berry, Sweet",Honduras
"Honduras, Jazmin",Catuai & Bourbon,"Nut, Dried Fruit, Chocolate, Red Apple, Raisin",Honduras
San Guillermo SL-28 Semi Washed 100g,Sl28,"Berry, Tropical Fruit, Tea",Costa Rica
Yirgacheffe Aricha Natural,Ethiopian Heirlooms,"Tropical Fruit, Dried Fruit, Chocolate, Berry, Raisin, Cherry, Mango, Stone Fruit",Ethiopia
Tamana Bourbon Washed,Bourbon,"Black Berry, Pear, Berry, Bread, Rye, Sweet",Rwanda
