Name,Variety,Flavors,Producer Country
【SPECIAL】GUATEMALA La Soledad Geisha - Washed / 100g,Geisha,"Peach, Floral, Berry, Chamomile, Apple, Tea, Stone Fruit",Panama
Colombia Catiope,Catiope,"Dill, Peach, Cucumber, Stone Fruit",Colombia
Ethiopia Mundayo,,"Tropical Fruit, Persimmon, Passion Fruit, Spice, Citrus, Apple, Sweet, Earthy, Blood Orange",Ethiopia
"Alirio Muñoz Ortega, Washed Field Blend",Pink Bourbon,"Berry, Red Apple, Cherry, Caramel, Sweet",Colombia
Volcanic Ash Washed Caturra - Colombia Espresso,Caturra,"Tropical Fruit, Spice, Orange, Citrus, Caramel",Colombia
48h Anoxic Washed SL28 by Linarco Rodriguez - Colombia,Sl28,"Tropical Fruit, Peach, Floral, Caramel, Orange, Citrus, Sweet, Stone Fruit",Costa Rica
Luis Herney Velasco,Pink Bourbon,"Nut, Currant, Berry, Cherry, Caramel, Sweet",Colombia
Kenya Kiandu Aa Washed,"Sl14, Sl28","Oat, Currant, Fermented, Grape, Berry, Bran, Acid, Vanilla, Sweet",Kenya
Costa Rica La Lia Yellow Honey Ethiopia 47 250G,Ethiopia 47,"Cran Berry, Fig, Berry, Cinnamon, Spice",Costa Rica
El Povenir Kolumbien Filter,"Castillo, Caturra","Citrus, Floral, Berry, Grape Fruit, Rasp Berry, Sweet",Colombia
Guatemala Camelias,"Caturra, Bourbon","Cherry, Berry, Sweet, Vanilla",Guatemala
El Aguate Cup Of Excellence Honduras,Geisha,"Floral, Citrus, Straw Berry, Berry, Rasp Berry",Panama
Brazil Boa Vista,"Red And Yellow Catuaí, Catucai, Ipr 98","Tropical Fruit, Water Melon, Guava, Berry, Rasp Berry",Brazil
Ethiopia | Benti Nenka G1,Ethiopian Heirlooms,"Black Berry, Tropical Fruit, Water Melon, Grape, Berry, Grape Fruit, Citrus, Apple",Ethiopia
Nicaragua El Limoncillo Javanica Cold Anaerobic Natural,Javanica,"Tropical Fruit, Currant, Passion Fruit, Berry, Mango, Stone Fruit",Nicaragua
El Faldón,"Caturra, Bourbon","Tropical Fruit, Nectarine, Acid, Citrus, Stone Fruit",Guatemala
A Hike Well Past Where The Road Ends Peru,"Typica, Bourbon","Nut, Sweet Cream, Marzipan, Milk Chocolate, Apple",Mexico
Sidra Carbonic Maceration Natural Hacienda La Florida,Sidra,"Sage, Berry, Mul Berry, Herb",Colombia
Luis Camacho,Pink Bourbon,"Cream, Tropical Fruit",Colombia
Karimikui Aa,,"Berry, Sweet Cream",Ethiopia
Hatessa,Jarc 74158,"Tropical Fruit, Floral, Sweet Cream, Fermented, Passion Fruit, Coconut",Ethiopia
Durley Sanchez,Pink Bourbon,"Citrus, Floral",Colombia
